Film,Year,URL Encoded name,Director/Filmmaker Name,Director/Filmmaker IMDB Link,Location Display Text,LATITUDE,LONGITUDE,Borough,Neighborhood,Scene Type,Media,IMDB LINK,Client or book location indicator
Requiem for a Dream,2000,Requiem%20for%20a%20Dream,Darren Aronofsky,http://imdb.com/name/nm0004716/,Coney Island Boardwalk<br>Brooklyn,40.5722319682892,-73.9839559793472,Brooklyn,Brooklyn,N/A,Film,http://www.imdb.com/title/tt0180093/,Coney Island/Brighton Beach Boardwalk
Rosemary's Baby,1968,Rosemary%27s%20Baby,Roman Polanski,http://imdb.com/name/nm0000591/,Fifth Ave. and E. 62nd St.<br>Upper East Side<br>Manhattan,40.7661000000000,-73.9717000000000,Manhattan,Upper East Side,N/A,Film,http://www.imdb.com/title/tt0063522/,Phone Booth: Fifth Ave and 62nd Street
Rosemary's Baby,1968,Rosemary%27s%20Baby,Roman Polanski,http://imdb.com/name/nm0000591/,"The Dakota<br>72nd St. and Central Park West<br>Manhattan
",40.7763900000000,-73.9760690000000,Manhattan,Upper West Side,N/A,Film,http://www.imdb.com/title/tt0063522/,"The Dakota, 72nd Street and Central Park West"
Rosemary's Baby,1968,Rosemary%27s%20Baby,Roman Polanski,http://imdb.com/name/nm0000591/,"The Dakota<br>72nd St. and Central Park West<br>Manhattan
",40.7765605250179,-73.9761507511138,Manhattan,Upper West Side,N/A,Film,http://www.imdb.com/title/tt0063522/,"The Dakota, 72nd Street and Central Park West"
Saturday Night Fever,1977,Saturday%20Night%20Fever,John Badham,http://imdb.com/name/nm0000824/,4th Ave. and 86th St.<br>Bay Ridge<br>Brooklyn,40.6228000000000,-74.0284000000000,Brooklyn,Brooklyn,The Subway,Film,http://www.imdb.com/title/tt0076666/,"Fourth Avenue and 86th Street, Bay Ridge"
Saturday Night Fever,1977,Saturday%20Night%20Fever,John Badham,http://imdb.com/name/nm0000824/,Subway Car<br>Brooklyn,40.6260702046750,-73.9970237016677,Brooklyn,Brooklyn,The Subway,Film,http://www.imdb.com/title/tt0076666/,"Fourth Avenue and 86th Street, Bay Ridge"
Searching for Bobby Fischer,1993,Searching%20for%20Bobby%20Fischer,Steven Zaillian,http://imdb.com/name/nm0001873/,Washington Square Park<br>West Village<br>Manhattan,40.7310718953207,-73.9992874860763,Manhattan,West Village,N/A,Film,http://www.imdb.com/title/tt0108065/,Washington Square Park
Serpico,1973,Serpico,Sidney Lumet,http://imdb.com/name/nm0001486/,"Williamsburg Tenaments<br>Brooklyn
",40.7075798804205,-73.9652019739151,Brooklyn,Brooklyn,N/A,Film,http://www.imdb.com/title/tt0070666/,Williamsburgh teNaments
Sesame Street,1969-today,Sesame%20Street,"Joan Ganz Cooney,(more)","http://imdb.com/name/nm0177760/,http://www.imdb.com/title/tt0063951/fullcredits#writers",Kaufman Astoria Studios<br>Astoria<br>Queens,40.7575990000000,-73.9236710000000,Queens,Queens,N/A,TV,http://www.imdb.com/title/tt0063951/,Kaufman Astoria Studios
Sex and the City,1998-2004,Sex%20and%20the%20City,"Darren Star,(more)","http://imdb.com/name/nm0823015/,http://www.imdb.com/title/tt0159206/fullcredits#writers",Magnolia Bakery<br>401 Bleecker St.<br>Manhattan,40.7358034474271,-74.0050166845321,Manhattan,West Village,N/A,TV,http://www.imdb.com/title/tt0159206/,Magnolia Bakery: Bleeker Street
Shadows,1959,Shadows,John Cassavetes,http://imdb.com/name/nm0001023/,MoMA<br>W. 53rd St.<br>Manhattan,40.7608458,-73.97647262,Manhattan,Midtown,N/A,Film,http://imdb.com/title/tt0053270/,N/A
Shaft,1971,Shaft,Gordon Parks,http://imdb.com/name/nm0662953/,Seventh Ave. and W. 42nd St.<br>Times Square<br>Manhattan,40.7560000000000,-73.9870000000000,Manhattan,Times Square,N/A,Film,http://www.imdb.com/title/tt0067741/,7th avenue at 42nd Street
Shaft,2000,Shaft,John Singleton,http://imdb.com/name/nm0005436/,New York County Courthouse<br>60 Centre St.<br>Lower Manhattan,40.7144510000000,-74.0023290000000,Manhattan,Lower Manhattan,N/A,Film,http://www.imdb.com/title/tt0162650/,New York County Courthouse: 60 Centre St
She's the One,1996,She%27s%20the%20One,Edward Burns,http://imdb.com/name/nm0122653/,McHales Pub<br>W. 46th and Eighth Ave.<br>Manhattan,40.7597405920739,-73.9875447750091,Manhattan,Midtown,N/A,Film,http://www.imdb.com/title/tt0117628/,"McHales Pub, 46th and Columbus"
Single White Female,1992,Single%20White%20Female,Barbet Schroeder,http://imdb.com/name/nm0775447/,Ansonia Hotel<br>2109 Broadway<br>Manhattan,40.7799560000000,-73.9818810000000,Manhattan,Upper West Side,New York Landmarks,Film,http://www.imdb.com/title/tt0105414/,Ansonia Hotel - 30th Street bet 7th and 8th Aves
